,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,year
215,First Southern Bank,Batesville,AR,58052,Southern Bank,2010-12-17,2010
216,"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,2010-12-17,2010
217,"Appalachian Community Bank, FSB",McCaysville,GA,58495,Peoples Bank of East Tennessee,2010-12-17,2010
218,Chestatee State Bank,Dawsonville,GA,34578,Bank of the Ozarks,2010-12-17,2010
219,"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,2010-12-17,2010
220,Earthstar Bank,Southampton,PA,35561,Polonia Bank,2010-12-10,2010
221,Paramount Bank,Farmington Hills,MI,34673,Level One Bank,2010-12-10,2010
222,First Banking Center,Burlington,WI,5287,First Michigan Bank,2010-11-19,2010
223,Allegiance Bank of North America,Bala Cynwyd,PA,35078,VIST Bank,2010-11-19,2010
224,Gulf State Community Bank,Carrabelle,FL,20340,Centennial Bank,2010-11-19,2010
225,Copper Star Bank,Scottsdale,AZ,35463,"Stearns Bank, N.A.",2010-11-12,2010
226,Darby Bank & Trust Co.,Vidalia,GA,14580,Ameris Bank,2010-11-12,2010
227,Tifton Banking Company,Tifton,GA,57831,Ameris Bank,2010-11-12,2010
228,First Vietnamese American Bank,Westminster,CA,57885,Grandpoint Bank,2010-11-05,2010
229,Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,2010-11-05,2010
230,Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,2010-11-05,2010
231,K Bank,Randallstown,MD,31263,Manufacturers and Traders Trust Company (M&T Bank),2010-11-05,2010
232,"First Arizona Savings, A FSB",Scottsdale,AZ,32582,No Acquirer,2010-10-22,2010
233,Hillcrest Bank,Overland Park,KS,22173,"Hillcrest Bank, N.A.",2010-10-22,2010
234,First Suburban National Bank,Maywood,IL,16089,Seaway Bank and Trust Company,2010-10-22,2010
235,The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,2010-10-22,2010
236,The Gordon Bank,Gordon,GA,33904,Morris Bank,2010-10-22,2010
237,Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,2010-10-22,2010
238,First Bank of Jacksonville,Jacksonville,FL,27573,Ameris Bank,2010-10-22,2010
239,Premier Bank,Jefferson City,MO,34016,Providence Bank,2010-10-15,2010
240,WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,2010-10-15,2010
241,"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,2010-10-15,2010
242,Shoreline Bank,Shoreline,WA,35250,GBC International Bank,2010-10-01,2010
243,Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,2010-10-01,2010
244,North County Bank,Arlington,WA,35053,Whidbey Island Bank,2010-09-24,2010
245,Haven Trust Bank Florida,Ponte Vedra Beach,FL,58308,First Southern Bank,2010-09-24,2010
246,Maritime Savings Bank,West Allis,WI,28612,"North Shore Bank, FSB",2010-09-17,2010
247,Bramble Savings Bank,Milford,OH,27808,Foundation Bank,2010-09-17,2010
248,The Peoples Bank,Winder,GA,182,Community & Southern Bank,2010-09-17,2010
249,First Commerce Community Bank,Douglasville,GA,57448,Community & Southern Bank,2010-09-17,2010
250,Bank of Ellijay,Ellijay,GA,58197,Community & Southern Bank,2010-09-17,2010
251,ISN Bank,Cherry Hill,NJ,57107,Customers Bank,2010-09-17,2010
252,Horizon Bank,Bradenton,FL,35061,Bank of the Ozarks,2010-09-10,2010
253,Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,2010-08-20,2010
254,Los Padres Bank,Solvang,CA,32165,Pacific Western Bank,2010-08-20,2010
255,Butte Community Bank,Chico,CA,33219,"Rabobank, N.A.",2010-08-20,2010
256,Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",2010-08-20,2010
257,ShoreBank,Chicago,IL,15640,Urban Partnership Bank,2010-08-20,2010
258,Imperial Savings and Loan Association,Martinsville,VA,31623,"River Community Bank, N.A.",2010-08-20,2010
259,Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",2010-08-20,2010
260,Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",2010-08-20,2010
261,Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,2010-08-13,2010
262,Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,2010-08-06,2010
263,LibertyBank,Eugene,OR,31964,Home Federal Bank,2010-07-30,2010
264,The Cowlitz Bank,Longview,WA,22643,Heritage Bank,2010-07-30,2010
265,Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,2010-07-30,2010
266,Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,2010-07-30,2010
267,Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,2010-07-30,2010
268,Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,2010-07-23,2010
269,SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,2010-07-23,2010
270,Community Security Bank,New Prague,MN,34486,Roundbank,2010-07-23,2010
271,Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,2010-07-23,2010
272,Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",2010-07-23,2010
273,Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,2010-07-23,2010
274,Sterling Bank,Lantana,FL,32536,IBERIABANK,2010-07-23,2010
275,"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,2010-07-16,2010
276,Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",2010-07-16,2010
277,Turnberry Bank,Aventura,FL,32280,NAFH National Bank,2010-07-16,2010
278,Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,2010-07-16,2010
279,First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,2010-07-16,2010
280,Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,2010-07-16,2010
281,Home National Bank,Blackwell,OK,11636,RCB Bank,2010-07-09,2010
282,USA Bank,Port Chester,NY,58072,New Century Bank,2010-07-09,2010
283,Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,2010-07-09,2010
284,Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",2010-07-09,2010
285,High Desert State Bank,Albuquerque,NM,35279,First American Bank,2010-06-25,2010
286,First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",2010-06-25,2010
287,Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",2010-06-25,2010
288,Nevada Security Bank,Reno,NV,57110,Umpqua Bank,2010-06-18,2010
289,Washington First International Bank,Seattle,WA,32955,East West Bank,2010-06-11,2010
290,TierOne Bank,Lincoln,NE,29341,Great Western Bank,2010-06-04,2010
291,Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,2010-06-04,2010
292,First National Bank,Rosedale,MS,15814,The Jefferson Bank,2010-06-04,2010
293,Sun West Bank,Las Vegas,NV,34785,City National Bank,2010-05-28,2010
294,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,2010
295,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,2010
296,Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,2010
297,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,2010
298,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,2010
299,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,2010
300,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,2010
301,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,2010
302,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,2010
303,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,2010
304,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,2010
305,Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,2010
306,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,2010
307,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,2010
308,BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,2010
309,Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,2010
310,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,2010
311,Westernbank Puerto Rico  En Español,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,2010
312,R-G Premier Bank of Puerto Rico  En Español,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,2010
313,Eurobank  En Español,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,2010
314,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,2010
315,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,2010
316,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,2010
317,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,2010
318,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,2010
319,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,2010
320,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,2010
321,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,2010
322,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,2010
323,Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,2010
324,Butler Bank,Lowell,MA,26619,People's United Bank,2010-04-16,2010
325,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010-04-16,2010
326,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010-04-16,2010
327,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010-04-16,2010
328,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010-04-16,2010
329,Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,2010-04-09,2010
330,Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,2010-03-26,2010
331,Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,2010-03-26,2010
332,Key West Bank,Key West,FL,34684,Centennial Bank,2010-03-26,2010
333,McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,2010-03-26,2010
334,State Bank of Aurora,Aurora,MN,8221,Northern State Bank,2010-03-19,2010
335,First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,2010-03-19,2010
336,Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,2010-03-19,2010
337,Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,2010-03-19,2010
338,Advanta Bank Corp.,Draper,UT,33535,No Acquirer,2010-03-19,2010
339,Century Security Bank,Duluth,GA,58104,Bank of Upson,2010-03-19,2010
340,American National Bank,Parma,OH,18806,The National Bank and Trust Company,2010-03-19,2010
341,Statewide Bank,Covington,LA,29561,Home Bank,2010-03-12,2010
342,Old Southern Bank,Orlando,FL,58182,Centennial Bank,2010-03-12,2010
343,The Park Avenue Bank,New York,NY,27096,Valley National Bank,2010-03-12,2010
344,LibertyPointe Bank,New York,NY,58071,Valley National Bank,2010-03-11,2010
345,Centennial Bank,Ogden,UT,34430,No Acquirer,2010-03-05,2010
346,Waterfield Bank,Germantown,MD,34976,No Acquirer,2010-03-05,2010
347,Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,2010-03-05,2010
348,Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,2010-03-05,2010
349,Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,2010-02-26,2010
350,Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,2010-02-26,2010
351,"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",2010-02-19,2010
